Kabupaten/Kota,Tahun,Indeks Kedalaman Kemiskinan (P1),Indeks Pembangunan Manusia (IPM),Tingkat Pengangguran Terbuka (TPT),Upah Minimum Kabupaten/Kota (UMK),PDRB ,Jumlah Penduduk,Persentase Penduduk Miskin,Rata-rata Lama Sekolah,Gin Ratio,Angka Harapan Hidup,Harapan Lama Sekolah,Usia Harapan Hidup,Pengeluaran,Sanitasi Layak,Longitude,Latitude
Kab. Cilacap,2024,"1,59","72,38","7,83","2.479.106,00","67.077,00",2.027.400,"10,68","7,40","0,36","74,57","12,69","74,97",11.868,"83,25",109,"-7,73"
Kab. Banyumas,2024,"2,09","74,52","6,18","2.195.690,00","40.151,00",1.847.100,"11,95","7,91","0,39","74,34","13,34","74,34",12.960,"83,25","109,35","-7,61"
Kab. Purbalingga,2024,"2,1","70,69","4,96","2.195.571,00","32.147,00",1.037.600,"14,18","7,36","0,31","73,56","12,03","74,19",11.343,"82,01","109,35","-7,28"
Kab. Banjarnegara,2024,"2,38","69,6","5,57","2.038.005,00","27.640,00",1.057.600,"14,71","6,87","0,36","74,66","11,83","74,70",10.595,"52,40","109,8","-7,4"
Kab. Kebumen,2024,"2,35","71,93","5,07","2.121.947,00","27.288,00",1.414.800,"15,71","7,87","0,33","73,96","13,39","75,22",10.176,"93,43","109,5706","-7,6294"
Kab. Purworejo,2024,"1,08","75,11","3,89","2.127.641,00","31.195,00",795.000,"10,87","8,65","0,35","75,51","13,55","75,64",11.584,"84,64","110,02","-7,72"
Kab. Wonosobo,2024,"2,41","69,82","4,02","2.159.175,00","27.190,00",920.500,"15,28","6,90","0,33","72,40","11,81","74,25",11.980,"63,81","109,926669","-7,361389"
Kab. Magelang,2024,"1,23","71,99","3,55","2.316.890,00","32.604,00",1.341.500,"10,83","7,83","0,33","74,45","12,62","74,68",10.926,"83,77","110,2731","-7,6575"
Kab. Boyolali,2024,"1,56","75,96","3,16","2.250.327,00","41.691,00",1.099.900,"9,63","8,17","0,34","76,44","12,67","76,44",14.195,"88,26","110,6025","-7,5322"
Kab. Klaten,2024,"1,46","78,16","3,97","2.224.012,00","42.736,00",1.292.800,"12,04","9,29","0,44","77,30","13,43","77,31",13.513,"97,86","110,6167","-7,6833"
Kab. Sukoharjo,2024,"1,21","79,3","3,65","2.215.482,00","53.085,00",941.700,"7,47","10,01","0,39","78,01","13,92","78,01",12.758,"97,08","110,83333","-7,68333"
Kab. Wonogiri,2024,"1,53","72,55","2,4","2.047.500,00","37.720,00",1.054.200,"10,71","7,68","0,39","76,84","12,61","76,82",10.634,"96,25",111,"-7,91667"
Kab. Karanganyar,2024,"1,63","78,11","3,47","2.288.366,00","53.364,00",961.900,"9,59","9,26","0,35","77,91","13,73","77,91",12.732,"98,54","110,9508","-7,5961"
Kab. Sragen,2024,"2,42","75,53","3,53","2.049.000,00","52.185,00",1.004.800,"12,41","7,88","0,31","76,18","12,93","76,18",13.890,"95,71","110,935","-7,41278"
Kab. Grobogan,2024,"1,9","72,02","3,23","2.116.516,00","24.898,00",1.506.400,"11,43","7,29","0,34","75,24","12,48","75,25",11.548,"93,94","110,9211","-7,03"
Kab. Blora,2024,"1,59","71,39","3,67","2.101.813,00","36.599,00",908.000,"11,42","7,26","0,35","74,84","12,60","74,92",10.926,"90,81","111,38333","-7,06667"
Kab. Rembang,2024,"2,76","72,53","2,84","2.099.689,00","38.775,00",665.200,"14,02","7,73","0,33","74,97","12,30","74,98",11.830,"94,89","111,35","-6,72"
Kab. Pati,2024,"1,17","74,1","3,87","2.190.000,00","43.051,00",1.370.800,"9,17","7,82","0,33","76,56","12,98","76,56",11.829,"96,33","111,1","-6,76667"
Kab. Kudus,2024,"1,02","77,22","3,19","2.516.888,00","145.600,00",883.300,"7,23","9,35","0,32","77,08","13,28","77,07",12.533,"95,90","110,8667","-6,8"
Kab. Jepara,2024,"0,71","74,32","3,34","2.450.915,00","32.902,00",1.232.900,"6,09","8,27","0,28","76,21","12,86","76,21",11.729,"68,05","110,6667","-6,5333"
